y,x,frame,t,vial,climbing,1
87.3,119.81,0,0.0,1.0,climbing,1
36.93,50.01,0,0.0,1.0,climbing,1
26.68,133.14,0,0.0,1.0,climbing,1
17.8,113.08,0,0.0,1.0,climbing,1
16.64,93.02,0,0.0,1.0,climbing,1
87.63,119.58,1,0.034,1.0,climbing,1
37.89,55.97,1,0.034,1.0,climbing,1
25.98,133.31,1,0.034,1.0,climbing,1
18.75,116.91,1,0.034,1.0,climbing,1
17.26,94.06,1,0.034,1.0,climbing,1
94.36,118.36,2,0.069,1.0,climbing,1
37.93,55.99,2,0.069,1.0,climbing,1
24.8,134.55,2,0.069,1.0,climbing,1
19.15,116.89,2,0.069,1.0,climbing,1
17.52,94.96,2,0.069,1.0,climbing,1
98.38,118.98,3,0.103,1.0,climbing,1
37.9,56.02,3,0.103,1.0,climbing,1
24.36,138.01,3,0.103,1.0,climbing,1
19.48,115.09,3,0.103,1.0,climbing,1
16.78,94.95,3,0.103,1.0,climbing,1
102.29,118.69,4,0.138,1.0,climbing,1
37.04,49.87,4,0.138,1.0,climbing,1
23.36,140.17,4,0.138,1.0,climbing,1
18.6,118.66,4,0.138,1.0,climbing,1
16.67,97.96,4,0.138,1.0,climbing,1
102.73,118.78,5,0.172,1.0,climbing,1
37.8,55.99,5,0.172,1.0,climbing,1
23.29,140.17,5,0.172,1.0,climbing,1
17.97,119.97,5,0.172,1.0,climbing,1
15.48,100.8,5,0.172,1.0,climbing,1
108.56,119.16,6,0.207,1.0,climbing,1
37.83,56.02,6,0.207,1.0,climbing,1
23.24,140.85,6,0.207,1.0,climbing,1
18.29,119.95,6,0.207,1.0,climbing,1
15.26,101.98,6,0.207,1.0,climbing,1
109.68,119.11,7,0.241,1.0,climbing,1
37.46,49.79,7,0.241,1.0,climbing,1
22.46,137.47,7,0.241,1.0,climbing,1
18.44,119.96,7,0.241,1.0,climbing,1
15.41,104.91,7,0.241,1.0,climbing,1
115.37,120.93,8,0.276,1.0,climbing,1
37.33,49.78,8,0.276,1.0,climbing,1
22.04,135.0,8,0.276,1.0,climbing,1
18.63,120.07,8,0.276,1.0,climbing,1
15.54,104.99,8,0.276,1.0,climbing,1
117.64,120.66,9,0.31,1.0,climbing,1
37.42,49.73,9,0.31,1.0,climbing,1
21.56,131.6,9,0.31,1.0,climbing,1
18.83,120.1,9,0.31,1.0,climbing,1
16.79,105.94,9,0.31,1.0,climbing,1
123.31,119.87,10,0.345,1.0,climbing,1
37.92,49.19,10,0.345,1.0,climbing,1
20.88,128.12,10,0.345,1.0,climbing,1
17.56,105.07,10,0.345,1.0,climbing,1
123.68,119.11,11,0.379,1.0,climbing,1
38.58,48.96,11,0.379,1.0,climbing,1
20.81,128.64,11,0.379,1.0,climbing,1
16.71,103.22,11,0.379,1.0,climbing,1
126.62,117.92,12,0.414,1.0,climbing,1
39.48,48.83,12,0.414,1.0,climbing,1
19.77,129.69,12,0.414,1.0,climbing,1
17.51,106.12,12,0.414,1.0,climbing,1
129.66,117.96,13,0.448,1.0,climbing,1
39.54,48.88,13,0.448,1.0,climbing,1
22.5,109.93,13,0.448,1.0,climbing,1
22.48,122.13,13,0.448,1.0,climbing,1
19.43,129.98,13,0.448,1.0,climbing,1
136.42,115.96,14,0.483,1.0,climbing,1
39.69,48.85,14,0.483,1.0,climbing,1
23.29,111.19,14,0.483,1.0,climbing,1
21.9,120.18,14,0.483,1.0,climbing,1
19.31,130.96,14,0.483,1.0,climbing,1
137.7,114.91,15,0.517,1.0,climbing,1
38.95,49.14,15,0.517,1.0,climbing,1
21.7,111.11,15,0.517,1.0,climbing,1
19.22,130.99,15,0.517,1.0,climbing,1
143.22,114.31,16,0.552,1.0,climbing,1
