y,x,mass,size,ecc,signal,raw_mass,ep,frame,t,True_particle,vial
281.34,119.81,677,132070,0.278,57.46,677,0.0,0,0.0,True,1.0
345.01,1027.88,404,132070,0.186,33.93,404,0.0,0,0.0,True,6.0
345.71,230.9,372,132070,0.369,29.28,372,0.0,0,0.0,True,2.0
345.8,410.24,476,132070,0.035,34.48,476,0.0,0,0.0,True,3.0
346.29,449.67,514,132070,0.175,34.48,514,0.0,0,0.0,True,3.0
346.2,468.87,365,132070,0.237,30.1,365,0.0,0,0.0,True,3.0
344.93,602.45,409,132070,0.086,24.63,409,0.0,0,0.0,True,4.0
347.85,251.76,593,132070,0.357,49.53,593,0.0,0,0.0,True,2.0
347.69,496.86,390,132070,0.288,32.29,390,0.0,0,0.0,True,3.0
348.65,612.91,608,132070,0.45,45.15,608,0.0,0,0.0,True,4.0
349.02,803.98,521,132070,0.449,38.31,521,0.0,0,0.0,True,5.0
348.85,967.15,329,132070,0.279,23.53,329,0.0,0,0.0,True,6.0
349.07,977.95,399,132070,0.211,23.26,399,0.0,0,0.0,True,6.0
349.71,651.88,459,132070,0.432,43.78,459,0.0,0,0.0,True,4.0
350.84,113.08,532,132070,0.331,34.48,532,0.0,0,0.0,True,1.0
344.87,765.78,478,132070,0.215,35.85,478,0.0,0,0.0,True,5.0
350.89,671.72,490,132070,0.45,36.12,490,0.0,0,0.0,True,4.0
352.39,779.02,440,132070,0.288,27.09,440,0.0,0,0.0,True,5.0
352.05,825.14,577,132070,0.273,42.69,577,0.0,0,0.0,True,5.0
352.31,1015.9,322,132070,0.456,26.54,322,0.0,0,0.0,True,6.0
353.43,429.08,369,132070,0.372,23.81,369,0.0,0,0.0,True,3.0
353.11,483.89,434,132070,0.412,34.48,434,0.0,0,0.0,True,3.0
352.72,792.82,442,132070,0.432,35.85,442,0.0,0,0.0,True,5.0
353.32,850.79,477,132070,0.387,33.66,477,0.0,0,0.0,True,5.0
352.73,1001.0,225,132070,0.579,18.61,225,0.0,0,0.0,False,0.0
353.71,464.55,374,132070,0.451,35.85,374,0.0,0,0.0,True,3.0
354.1,604.11,543,132070,0.448,41.87,543,0.0,0,0.0,True,4.0
353.92,637.04,265,132070,0.06,15.32,265,0.0,0,0.0,False,0.0
356.02,992.07,311,132070,0.255,21.89,311,0.0,0,0.0,False,0.0
356.78,253.77,283,132070,0.357,20.25,283,0.0,0,0.0,False,0.0
