y,x,frame,t,vial,climbing,5
11.84,56.66,0,0.0,1.0,climbing,5
11.27,24.48,0,0.0,1.0,climbing,5
23.86,9.85,1,0.034,1.0,climbing,5
14.38,54.9,1,0.034,1.0,climbing,5
8.94,69.78,1,0.034,1.0,climbing,5
8.64,26.45,1,0.034,1.0,climbing,5
24.67,9.57,2,0.069,1.0,climbing,5
20.47,71.98,2,0.069,1.0,climbing,5
14.86,54.98,2,0.069,1.0,climbing,5
9.11,26.86,2,0.069,1.0,climbing,5
4.63,63.8,2,0.069,1.0,climbing,5
53.79,21.94,3,0.103,1.0,climbing,5
26.57,9.85,3,0.103,1.0,climbing,5
20.28,72.02,3,0.103,1.0,climbing,5
15.95,54.28,3,0.103,1.0,climbing,5
9.61,26.23,3,0.103,1.0,climbing,5
4.79,63.68,3,0.103,1.0,climbing,5
20.67,72.54,4,0.138,1.0,climbing,5
9.9,69.28,4,0.138,1.0,climbing,5
9.84,26.18,4,0.138,1.0,climbing,5
8.91,11.49,4,0.138,1.0,climbing,5
4.95,61.09,4,0.138,1.0,climbing,5
21.38,72.84,5,0.172,1.0,climbing,5
9.94,26.49,5,0.172,1.0,climbing,5
8.98,12.06,5,0.172,1.0,climbing,5
4.71,62.33,5,0.172,1.0,climbing,5
22.38,72.87,6,0.207,1.0,climbing,5
18.55,37.29,6,0.207,1.0,climbing,5
11.02,26.49,6,0.207,1.0,climbing,5
9.48,11.16,6,0.207,1.0,climbing,5
4.83,62.19,6,0.207,1.0,climbing,5
22.55,72.63,7,0.241,1.0,climbing,5
18.66,37.2,7,0.241,1.0,climbing,5
14.7,28.62,7,0.241,1.0,climbing,5
9.41,11.7,7,0.241,1.0,climbing,5
5.66,61.28,7,0.241,1.0,climbing,5
18.9,37.24,8,0.276,1.0,climbing,5
13.04,70.94,8,0.276,1.0,climbing,5
9.73,11.15,8,0.276,1.0,climbing,5
4.75,66.8,8,0.276,1.0,climbing,5
56.9,33.36,9,0.31,1.0,climbing,5
18.85,37.34,9,0.31,1.0,climbing,5
9.83,11.16,9,0.31,1.0,climbing,5
9.2,22.11,9,0.31,1.0,climbing,5
7.7,45.78,9,0.31,1.0,climbing,5
4.63,66.95,9,0.31,1.0,climbing,5
18.74,38.1,10,0.345,1.0,climbing,5
18.49,71.48,10,0.345,1.0,climbing,5
10.46,11.04,10,0.345,1.0,climbing,5
9.89,21.54,10,0.345,1.0,climbing,5
8.41,32.7,10,0.345,1.0,climbing,5
8.34,46.11,10,0.345,1.0,climbing,5
4.95,62.09,10,0.345,1.0,climbing,5
15.89,55.49,11,0.379,1.0,climbing,5
11.17,10.86,11,0.379,1.0,climbing,5
10.19,21.15,11,0.379,1.0,climbing,5
8.91,29.59,11,0.379,1.0,climbing,5
8.55,45.64,11,0.379,1.0,climbing,5
6.73,61.84,11,0.379,1.0,climbing,5
18.71,71.43,12,0.414,1.0,climbing,5
16.41,55.39,12,0.414,1.0,climbing,5
10.73,21.36,12,0.414,1.0,climbing,5
8.87,34.56,12,0.414,1.0,climbing,5
8.87,45.43,12,0.414,1.0,climbing,5
7.69,61.78,12,0.414,1.0,climbing,5
34.47,9.04,13,0.448,1.0,climbing,5
19.37,71.28,13,0.448,1.0,climbing,5
18.61,38.41,13,0.448,1.0,climbing,5
17.08,55.38,13,0.448,1.0,climbing,5
16.61,10.85,13,0.448,1.0,climbing,5
11.03,21.19,13,0.448,1.0,climbing,5
9.81,45.63,13,0.448,1.0,climbing,5
9.15,33.61,13,0.448,1.0,climbing,5
8.33,61.29,13,0.448,1.0,climbing,5
34.73,9.29,14,0.483,1.0,climbing,5
19.62,71.15,14,0.483,1.0,climbing,5
18.74,38.52,14,0.483,1.0,climbing,5
11.65,21.29,14,0.483,1.0,climbing,5
9.85,34.69,14,0.483,1.0,climbing,5
9.28,46.11,14,0.483,1.0,climbing,5
9.19,60.53,14,0.483,1.0,climbing,5
56.35,60.95,15,0.517,1.0,climbing,5
34.58,9.25,15,0.517,1.0,climbing,5
11.11,46.82,15,0.517,1.0,climbing,5
10.75,60.77,15,0.517,1.0,climbing,5
9.17,35.93,15,0.517,1.0,climbing,5
8.05,69.9,15,0.517,1.0,climbing,5
34.74,9.28,16,0.552,1.0,climbing,5
19.41,38.22,16,0.552,1.0,climbing,5
14.69,55.63,16,0.552,1.0,climbing,5
11.1,47.62,16,0.552,1.0,climbing,5
9.77,36.29,16,0.552,1.0,climbing,5
9.38,18.04,16,0.552,1.0,climbing,5
8.61,70.52,16,0.552,1.0,climbing,5
34.58,9.03,17,0.586,1.0,climbing,5
19.43,38.11,17,0.586,1.0,climbing,5
15.68,55.95,17,0.586,1.0,climbing,5
12.77,47.5,17,0.586,1.0,climbing,5
10.26,35.69,17,0.586,1.0,climbing,5
9.74,18.86,17,0.586,1.0,climbing,5
34.57,9.03,18,0.621,1.0,climbing,5
19.41,38.02,18,0.621,1.0,climbing,5
16.65,62.3,18,0.621,1.0,climbing,5
13.14,47.13,18,0.621,1.0,climbing,5
10.23,19.3,18,0.621,1.0,climbing,5
34.68,8.97,19,0.655,1.0,climbing,5
18.84,37.71,19,0.655,1.0,climbing,5
16.82,62.15,19,0.655,1.0,climbing,5
16.62,11.81,19,0.655,1.0,climbing,5
15.6,47.2,19,0.655,1.0,climbing,5
11.2,19.86,19,0.655,1.0,climbing,5
8.26,30.01,19,0.655,1.0,climbing,5
34.6,9.28,20,0.69,1.0,climbing,5
18.85,37.94,20,0.69,1.0,climbing,5
18.45,12.36,20,0.69,1.0,climbing,5
17.64,68.24,20,0.69,1.0,climbing,5
17.54,47.12,20,0.69,1.0,climbing,5
11.13,19.52,20,0.69,1.0,climbing,5
8.71,29.28,20,0.69,1.0,climbing,5
34.79,8.88,21,0.724,1.0,climbing,5
19.56,12.98,21,0.724,1.0,climbing,5
19.06,37.9,21,0.724,1.0,climbing,5
18.56,47.21,21,0.724,1.0,climbing,5
18.28,68.82,21,0.724,1.0,climbing,5
10.85,19.15,21,0.724,1.0,climbing,5
8.59,29.3,21,0.724,1.0,climbing,5
6.5,60.83,21,0.724,1.0,climbing,5
34.88,9.08,22,0.759,1.0,climbing,5
19.57,37.71,22,0.759,1.0,climbing,5
18.49,68.98,22,0.759,1.0,climbing,5
8.13,29.71,22,0.759,1.0,climbing,5
5.96,54.35,22,0.759,1.0,climbing,5
34.94,8.97,23,0.793,1.0,climbing,5
19.41,38.1,23,0.793,1.0,climbing,5
19.39,69.03,23,0.793,1.0,climbing,5
9.12,16.93,23,0.793,1.0,climbing,5
