y,x,frame,t,vial,climbing,1
234.99,84.76,0,0.0,1,climbing,
89.64,52.56,0,0.0,1,climbing,
71.15,71.93,0,0.0,1,climbing,
52.29,39.12,0,0.0,1,climbing,
44.54,67.46,0,0.0,1,climbing,
44.21,18.03,0,0.0,1,climbing,
41.98,86.32,0,0.0,1,climbing,
41.69,45.24,0,0.0,1,climbing,
36.11,76.62,0,0.0,1,climbing,
32.64,35.29,0,0.0,1,climbing,
31.67,46.52,0,0.0,1,climbing,
29.15,72.33,0,0.0,1,climbing,
22.42,34.11,0,0.0,1,climbing,
235.42,85.71,1,0.04,1,climbing,
89.58,52.71,1,0.04,1,climbing,
73.32,71.72,1,0.04,1,climbing,
58.74,36.32,1,0.04,1,climbing,
46.91,17.92,1,0.04,1,climbing,
45.56,86.67,1,0.04,1,climbing,
43.19,66.81,1,0.04,1,climbing,
42.95,45.49,1,0.04,1,climbing,
37.61,59.91,1,0.04,1,climbing,
32.24,34.98,1,0.04,1,climbing,
31.94,46.11,1,0.04,1,climbing,
29.39,72.42,1,0.04,1,climbing,
22.44,34.08,1,0.04,1,climbing,
235.53,85.85,2,0.08,1,climbing,
232.33,73.03,2,0.08,1,climbing,
89.49,52.7,2,0.08,1,climbing,
76.01,71.86,2,0.08,1,climbing,
60.66,35.86,2,0.08,1,climbing,
47.9,17.96,2,0.08,1,climbing,
45.6,64.74,2,0.08,1,climbing,
45.06,86.9,2,0.08,1,climbing,
44.56,45.49,2,0.08,1,climbing,
38.78,19.33,2,0.08,1,climbing,
33.85,65.78,2,0.08,1,climbing,
32.85,34.98,2,0.08,1,climbing,
32.09,46.02,2,0.08,1,climbing,
31.94,56.85,2,0.08,1,climbing,
29.9,72.92,2,0.08,1,climbing,
22.42,34.1,2,0.08,1,climbing,
235.62,85.95,3,0.12,1,climbing,
232.33,73.02,3,0.12,1,climbing,
89.57,52.59,3,0.12,1,climbing,
76.27,71.33,3,0.12,1,climbing,
62.97,35.45,3,0.12,1,climbing,
49.71,86.98,3,0.12,1,climbing,
47.86,18.04,3,0.12,1,climbing,
45.55,45.11,3,0.12,1,climbing,
44.21,64.68,3,0.12,1,climbing,
39.07,19.4,3,0.12,1,climbing,
33.99,65.87,3,0.12,1,climbing,
33.74,34.95,3,0.12,1,climbing,
32.13,45.96,3,0.12,1,climbing,
31.73,57.36,3,0.12,1,climbing,
30.09,72.98,3,0.12,1,climbing,
22.44,34.01,3,0.12,1,climbing,
235.63,85.88,4,0.16,1,climbing,
232.36,73.04,4,0.16,1,climbing,
89.65,52.47,4,0.16,1,climbing,
77.48,70.51,4,0.16,1,climbing,
60.1,36.67,4,0.16,1,climbing,
50.98,86.89,4,0.16,1,climbing,
47.2,17.95,4,0.16,1,climbing,
45.48,64.08,4,0.16,1,climbing,
37.61,59.76,4,0.16,1,climbing,
35.51,77.97,4,0.16,1,climbing,
34.58,34.74,4,0.16,1,climbing,
32.07,45.9,4,0.16,1,climbing,
22.42,34.05,4,0.16,1,climbing,
234.16,82.22,5,0.2,1,climbing,
232.37,72.99,5,0.2,1,climbing,
89.14,52.03,5,0.2,1,climbing,
81.46,63.98,5,0.2,1,climbing,
61.55,35.95,5,0.2,1,climbing,
52.08,86.95,5,0.2,1,climbing,
48.8,62.65,5,0.2,1,climbing,
48.65,43.33,5,0.2,1,climbing,
47.97,17.79,5,0.2,1,climbing,
33.65,33.83,5,0.2,1,climbing,
31.44,56.4,5,0.2,1,climbing,
29.81,72.9,5,0.2,1,climbing,
22.44,34.07,5,0.2,1,climbing,
234.3,82.02,6,0.24,1,climbing,
232.52,73.06,6,0.24,1,climbing,
89.51,51.8,6,0.24,1,climbing,
82.52,61.41,6,0.24,1,climbing,
67.75,33.26,6,0.24,1,climbing,
54.01,86.31,6,0.24,1,climbing,
48.88,61.84,6,0.24,1,climbing,
48.8,43.35,6,0.24,1,climbing,
47.98,17.61,6,0.24,1,climbing,
37.4,46.28,6,0.24,1,climbing,
37.36,59.02,6,0.24,1,climbing,
35.03,77.67,6,0.24,1,climbing,
32.18,35.74,6,0.24,1,climbing,
22.4,34.07,6,0.24,1,climbing,
234.31,81.89,7,0.28,1,climbing,
88.96,51.12,7,0.28,1,climbing,
83.51,59.52,7,0.28,1,climbing,
69.82,32.22,7,0.28,1,climbing,
56.96,85.94,7,0.28,1,climbing,
49.72,43.93,7,0.28,1,climbing,
48.47,17.11,7,0.28,1,climbing,
48.27,61.3,7,0.28,1,climbing,
37.49,58.95,7,0.28,1,climbing,
35.01,77.35,7,0.28,1,climbing,
32.91,32.27,7,0.28,1,climbing,
31.71,44.95,7,0.28,1,climbing,
22.38,34.04,7,0.28,1,climbing,
234.31,81.94,8,0.32,1,climbing,
89.59,50.97,8,0.32,1,climbing,
84.75,59.02,8,0.32,1,climbing,
68.27,32.99,8,0.32,1,climbing,
58.02,86.04,8,0.32,1,climbing,
50.55,44.68,8,0.32,1,climbing,
48.49,61.17,8,0.32,1,climbing,
42.86,18.2,8,0.32,1,climbing,
35.29,65.05,8,0.32,1,climbing,
34.99,77.36,8,0.32,1,climbing,
31.01,55.16,8,0.32,1,climbing,
29.33,71.51,8,0.32,1,climbing,
22.42,34.04,8,0.32,1,climbing,
234.3,81.97,9,0.36,1,climbing,
89.04,50.24,9,0.36,1,climbing,
85.6,58.86,9,0.36,1,climbing,
70.36,32.62,9,0.36,1,climbing,
50.54,45.54,9,0.36,1,climbing,
50.12,17.02,9,0.36,1,climbing,
49.52,60.66,9,0.36,1,climbing,
40.03,19.0,9,0.36,1,climbing,
37.44,58.8,9,0.36,1,climbing,
