y,x,frame,t,vial,climbing,2
32.79,111.72,0,0.0,1.0,climbing,2
29.76,47.97,0,0.0,1.0,climbing,2
21.58,121.03,0,0.0,1.0,climbing,2
21.13,133.65,0,0.0,1.0,climbing,2
19.37,67.47,0,0.0,1.0,climbing,2
16.18,51.68,0,0.0,1.0,climbing,2
16.17,77.85,0,0.0,1.0,climbing,2
33.24,49.1,1,0.034,1.0,climbing,2
32.48,112.05,1,0.034,1.0,climbing,2
22.72,117.28,1,0.034,1.0,climbing,2
21.2,95.91,1,0.034,1.0,climbing,2
20.83,131.23,1,0.034,1.0,climbing,2
18.98,68.21,1,0.034,1.0,climbing,2
15.49,79.25,1,0.034,1.0,climbing,2
14.97,51.02,1,0.034,1.0,climbing,2
36.05,49.85,2,0.069,1.0,climbing,2
31.23,116.81,2,0.069,1.0,climbing,2
22.67,104.05,2,0.069,1.0,climbing,2
21.14,131.01,2,0.069,1.0,climbing,2
20.74,121.84,2,0.069,1.0,climbing,2
20.07,70.68,2,0.069,1.0,climbing,2
18.82,91.07,2,0.069,1.0,climbing,2
16.29,81.99,2,0.069,1.0,climbing,2
15.39,52.09,2,0.069,1.0,climbing,2
36.33,49.09,3,0.103,1.0,climbing,2
30.78,119.53,3,0.103,1.0,climbing,2
30.39,42.63,3,0.103,1.0,climbing,2
28.24,53.61,3,0.103,1.0,climbing,2
25.34,94.78,3,0.103,1.0,climbing,2
22.59,107.01,3,0.103,1.0,climbing,2
21.19,130.47,3,0.103,1.0,climbing,2
21.15,121.03,3,0.103,1.0,climbing,2
20.91,72.67,3,0.103,1.0,climbing,2
16.46,83.05,3,0.103,1.0,climbing,2
14.9,53.45,3,0.103,1.0,climbing,2
39.31,48.94,4,0.138,1.0,climbing,2
31.34,42.73,4,0.138,1.0,climbing,2
30.37,120.04,4,0.138,1.0,climbing,2
24.42,63.12,4,0.138,1.0,climbing,2
22.46,109.05,4,0.138,1.0,climbing,2
21.54,72.95,4,0.138,1.0,climbing,2
21.18,130.94,4,0.138,1.0,climbing,2
21.14,121.03,4,0.138,1.0,climbing,2
17.23,90.87,4,0.138,1.0,climbing,2
14.44,53.06,4,0.138,1.0,climbing,2
42.38,49.45,5,0.172,1.0,climbing,2
32.47,42.71,5,0.172,1.0,climbing,2
28.85,123.98,5,0.172,1.0,climbing,2
25.31,61.98,5,0.172,1.0,climbing,2
22.72,110.41,5,0.172,1.0,climbing,2
21.56,82.05,5,0.172,1.0,climbing,2
21.42,53.97,5,0.172,1.0,climbing,2
20.49,122.16,5,0.172,1.0,climbing,2
17.79,91.71,5,0.172,1.0,climbing,2
45.26,50.88,6,0.207,1.0,climbing,2
37.18,42.86,6,0.207,1.0,climbing,2
28.51,124.79,6,0.207,1.0,climbing,2
23.71,62.79,6,0.207,1.0,climbing,2
22.72,114.15,6,0.207,1.0,climbing,2
22.42,76.09,6,0.207,1.0,climbing,2
19.99,123.27,6,0.207,1.0,climbing,2
