,Mito,Condition,Vial_ID,Hour,Vial,slope,intercept,R_sq,p_value,stderr
301,Zim,Fatigued,Zim_Fatigued_2,6,2,0.0316447582725,-1.10583240003,0.771641529854,3.64912817244e-09,0.0035139609214
302,Zim,Fatigued,Zim_Fatigued_3,6,3,0.0282419235871,-0.546210977258,0.797715212426,8.39076651484e-10,0.00290299526586
303,Zim,Fatigued,Zim_Fatigued_4,6,4,0.0223209321709,-1.10355019721,0.956791833132,6.96533262721e-18,0.000968235268029
304,Zim,Rested,Zim_Rested_1,6,1,0.0187443454106,-1.68716497046,0.472755003076,0.000104009783116,0.00404066480291
305,Zim,Rested,Zim_Rested_2,6,2,0.0168323417407,-1.59179110098,0.933050953628,1.3492761678e-15,0.000920361484909
306,Zim,Rested,Zim_Rested_3,6,3,0.011489706379,-0.359894462336,0.85836842858,1.12636383241e-11,0.00095267875095
307,Zim,Rested,Zim_Rested_4,6,4,0.0127452809028,-1.25365654599,0.991005341366,4.53877432245e-26,0.000247855257713
308,Zim,Rested,Zim_Rested_1,6,1,0.0117892197149,-0.392171387533,0.956902950729,6.75303487704e-18,0.000510704003163
309,Zim,Rested,Zim_Rested_2,6,2,0.0113951215822,-0.6532462991,0.975429913312,7.89176703721e-21,0.000369163412502
310,Zim,Rested,Zim_Rested_3,6,3,0.0136068574383,-1.03961727533,0.967880811207,1.97252729306e-19,0.000505968590934
311,Zim,Rested,Zim_Rested_4,6,4,0.0104940559601,-0.676708619656,0.991522469463,2.22971939156e-26,0.000198071119446
312,Zim,Rested,Zim_Rested_1,6,1,0.012544355877,-0.97714345493,0.929542212092,2.49498283402e-15,0.000704973332652
313,Zim,Rested,Zim_Rested_2,6,2,0.0119517181866,-0.707208912042,0.867524181816,5.0268168454e-12,0.000953349699247
314,Zim,Rested,Zim_Rested_3,6,3,0.0137607525314,-0.761198168335,0.983178074362,8.34101482759e-23,0.000367416220868
315,Zim,Rested,Zim_Rested_4,6,4,0.012935813651,-0.705157607423,0.97728779348,3.06919970819e-21,0.000402537696333
